datetime_utc,currency,impact,event
2024-01-05 13:30:00,USD,high,Non-Farm Payrolls
2024-01-11 13:30:00,USD,high,CPI
2024-01-31 19:00:00,USD,high,FOMC Statement
2024-02-02 13:30:00,USD,high,Non-Farm Payrolls
2024-02-13 13:30:00,USD,high,CPI
2024-02-29 13:30:00,USD,high,PCE Price Index
2024-03-08 13:30:00,USD,high,Non-Farm Payrolls
2024-03-12 12:30:00,USD,high,CPI
2024-03-20 18:00:00,USD,high,FOMC Statement
2024-03-29 12:30:00,USD,high,PCE Price Index
2024-04-05 12:30:00,USD,high,Non-Farm Payrolls
2024-04-10 12:30:00,USD,high,CPI
2024-04-26 12:30:00,USD,high,PCE Price Index
2024-05-01 18:00:00,USD,high,FOMC Statement
2024-05-03 12:30:00,USD,high,Non-Farm Payrolls
2024-05-15 12:30:00,USD,high,CPI
2024-05-31 12:30:00,USD,high,PCE Price Index
2024-06-07 12:30:00,USD,high,Non-Farm Payrolls
2024-06-12 12:30:00,USD,high,CPI
2024-06-12 18:00:00,USD,high,FOMC Statement
2024-06-28 12:30:00,USD,high,PCE Price Index
2024-07-05 12:30:00,USD,high,Non-Farm Payrolls
2024-07-11 12:30:00,USD,high,CPI
2024-07-26 12:30:00,USD,high,PCE Price Index
2024-07-31 18:00:00,USD,high,FOMC Statement
2024-08-02 12:30:00,USD,high,Non-Farm Payrolls
2024-08-14 12:30:00,USD,high,CPI
2024-08-30 12:30:00,USD,high,PCE Price Index
2024-09-06 12:30:00,USD,high,Non-Farm Payrolls
2024-09-11 12:30:00,USD,high,CPI
2024-09-18 18:00:00,USD,high,FOMC Statement
2024-09-27 12:30:00,USD,high,PCE Price Index
2024-10-04 12:30:00,USD,high,Non-Farm Payrolls
2024-10-10 12:30:00,USD,high,CPI
2024-10-31 12:30:00,USD,high,PCE Price Index
2024-11-01 12:30:00,USD,high,Non-Farm Payrolls
2024-11-07 19:00:00,USD,high,FOMC Statement
2024-11-13 13:30:00,USD,high,CPI
2024-11-27 13:30:00,USD,high,PCE Price Index
2024-12-06 13:30:00,USD,high,Non-Farm Payrolls
2024-12-11 13:30:00,USD,high,CPI
2024-12-18 19:00:00,USD,high,FOMC Statement
2024-12-20 13:30:00,USD,high,PCE Price Index
2025-01-10 13:30:00,USD,high,Non-Farm Payrolls
2025-01-15 13:30:00,USD,high,CPI
2025-01-29 19:00:00,USD,high,FOMC Statement
2025-01-31 13:30:00,USD,high,PCE Price Index
2025-02-07 13:30:00,USD,high,Non-Farm Payrolls
2025-02-12 13:30:00,USD,high,CPI
2025-02-28 13:30:00,USD,high,PCE Price Index
2025-03-07 13:30:00,USD,high,Non-Farm Payrolls
2025-03-12 12:30:00,USD,high,CPI
2025-03-19 18:00:00,USD,high,FOMC Statement
2025-03-28 12:30:00,USD,high,PCE Price Index
2025-04-04 12:30:00,USD,high,Non-Farm Payrolls
2025-04-10 12:30:00,USD,high,CPI
2025-04-30 12:30:00,USD,high,PCE Price Index
2025-05-02 12:30:00,USD,high,Non-Farm Payrolls
2025-05-07 18:00:00,USD,high,FOMC Statement
2025-05-13 12:30:00,USD,high,CPI
2025-05-30 12:30:00,USD,high,PCE Price Index
2025-06-06 12:30:00,USD,high,Non-Farm Payrolls
2025-06-11 12:30:00,USD,high,CPI
2025-06-18 18:00:00,USD,high,FOMC Statement
2025-06-27 12:30:00,USD,high,PCE Price Index
2025-07-03 12:30:00,USD,high,Non-Farm Payrolls
2025-07-11 12:30:00,USD,high,CPI
2025-07-25 12:30:00,USD,high,PCE Price Index
2025-07-30 18:00:00,USD,high,FOMC Statement
2025-08-01 12:30:00,USD,high,Non-Farm Payrolls
2025-08-13 12:30:00,USD,high,CPI
2025-08-29 12:30:00,USD,high,PCE Price Index
2025-09-05 12:30:00,USD,high,Non-Farm Payrolls
2025-09-10 12:30:00,USD,high,CPI
2025-09-17 18:00:00,USD,high,FOMC Statement
2025-09-26 12:30:00,USD,high,PCE Price Index
2025-10-03 12:30:00,USD,high,Non-Farm Payrolls
2025-10-15 12:30:00,USD,high,CPI
2025-10-31 12:30:00,USD,high,PCE Price Index
2025-11-07 13:30:00,USD,high,Non-Farm Payrolls
2025-11-05 19:00:00,USD,high,FOMC Statement
2025-11-13 13:30:00,USD,high,CPI
2025-11-26 13:30:00,USD,high,PCE Price Index
2025-12-05 13:30:00,USD,high,Non-Farm Payrolls
2025-12-10 13:30:00,USD,high,CPI
2025-12-17 19:00:00,USD,high,FOMC Statement
2025-12-19 13:30:00,USD,high,PCE Price Index
2026-01-09 13:30:00,USD,high,Non-Farm Payrolls
2026-01-14 13:30:00,USD,high,CPI
2026-01-28 19:00:00,USD,high,FOMC Statement
2026-01-30 13:30:00,USD,high,PCE Price Index
2026-02-06 13:30:00,USD,high,Non-Farm Payrolls
2026-02-11 13:30:00,USD,high,CPI
2026-02-27 13:30:00,USD,high,PCE Price Index
2026-03-06 13:30:00,USD,high,Non-Farm Payrolls
2026-03-11 12:30:00,USD,high,CPI
2026-03-18 18:00:00,USD,high,FOMC Statement
2026-03-27 12:30:00,USD,high,PCE Price Index
2026-04-03 12:30:00,USD,high,Non-Farm Payrolls
2026-04-10 12:30:00,USD,high,CPI
2026-04-29 12:30:00,USD,high,PCE Price Index
2026-05-06 18:00:00,USD,high,FOMC Statement
2026-05-08 12:30:00,USD,high,Non-Farm Payrolls
2026-05-13 12:30:00,USD,high,CPI
2026-05-29 12:30:00,USD,high,PCE Price Index
2026-06-05 12:30:00,USD,high,Non-Farm Payrolls
2026-06-10 12:30:00,USD,high,CPI
2026-06-17 18:00:00,USD,high,FOMC Statement
2026-06-26 12:30:00,USD,high,PCE Price Index
2026-07-10 12:30:00,USD,high,Non-Farm Payrolls
2026-07-15 12:30:00,USD,high,CPI
2026-07-29 18:00:00,USD,high,FOMC Statement
2026-07-31 12:30:00,USD,high,PCE Price Index
2026-08-07 12:30:00,USD,high,Non-Farm Payrolls
2026-08-12 12:30:00,USD,high,CPI
2026-08-28 12:30:00,USD,high,PCE Price Index
2026-09-04 12:30:00,USD,high,Non-Farm Payrolls
2026-09-09 12:30:00,USD,high,CPI
2026-09-16 18:00:00,USD,high,FOMC Statement
2026-09-25 12:30:00,USD,high,PCE Price Index
2026-10-02 12:30:00,USD,high,Non-Farm Payrolls
2026-10-14 12:30:00,USD,high,CPI
2026-10-30 12:30:00,USD,high,PCE Price Index
2026-11-06 13:30:00,USD,high,Non-Farm Payrolls
